Numero,Codigo,Descripcion ,Cantidad
1,P01-D04-I3D-L04-W20-IF50,Base de direccion,1
2,P01-D04-T04-I3D-L04-W20-IF50,Tapa de mecanismo,1
3,P01-D04-SV02-MG996R,Servo MG996R,1
4,P01-D04-SV02-AC180,Acople de servo 180,1
5, P01-D04-MB01-I3D-L04-W20-IF50,Barra de mecanismo ,1
6,P01-D04-MB02-I3D-L04-W20-IF50,Barra de mecanismo ,1
7,P01-D04-MB03-I3D-L04-W20-IF50,Barra de mecanismo ,1
8,P01-D04-MB05-I3D-L04-W20-IF50,Barra de mecanismo ,2
9,P01-D04-MB06-I3D-L04-W20-IF50,Barra de mecanismo ,2
10,P01-D04-MB04-I3D-L04-W20-IF50,Barra de mecanismo ,1
11,P01-D04-PM01-I3D-L04-W20-IF50,Porta masa,2
12,P01-D04-PM02-I3D-L04-W20-IF50,Porta masa,2
13,P01-D04-PM04-I3D-L04-W20-IF50,Masa,2
14,P01-D04-RL4-5-10,Ruleman 4x5x10,4
15,P01-D04-MR-3MM,Buje 3 mm x 6 mm,10
16,P01-D04-MR-3X20MM,Buje 3 mm x20 mm,2
17,ISO-1207-M3-X16,Bulon M3X16,8
18,ISO-1207-M3-X25,Bulon M3X25,8
19,ISO-1207-M4-X40,Bulon M4X40,2
20,ISO-1207-M5-X50,Bulon M5X50,4
21,ISO-10511-M4-NUT,Tuerca autobloqueante M4,2
22,ISO-10511-M5-NUT,Tuerca autobloqueante M5,4
23,ISO-10511-M3-NUT,Tuerca autobloqueante M3,16
